date,close,volume,open,high,low
8/28/2015,108.71,173230,107.41,109.04,107.25
8/27/2015,107.78,220504,107.57,108.4,106.65
8/26/2015,107.07,276434,106.51,107.69,104.72
8/25/2015,104.67,320375,108,108.26,104.395
8/24/2015,105.11,268740,105.93,110,103.94
8/21/2015,108.42,351535,107.26,110.17,107.26
8/20/2015,109.28,179784,109.6,110.18,108.86
8/19/2015,110.11,116366,109.67,111,109.07
8/18/2015,110.05,86593,110.81,111.25,109.47
8/17/2015,110.84,98139,108.69,111.13,108.04
8/14/2015,109.16,119648,108.12,109.2799,107.32
8/13/2015,108.19,75194,107.88,109.42,106.92
8/12/2015,107.88,186613,109.6,110,106.915
8/11/2015,110.52,129068,109.53,111.03,109.25
8/10/2015,110.1,103274,109.8,110.42,109.38
8/7/2015,109.36,107184,109.5,109.61,108.21
8/6/2015,109.32,155405,110.18,110.225,108.53
8/5/2015,109.92,136395,109.1,110.47,108.845
8/4/2015,109.04,88556,108.63,109.39,108.2
8/3/2015,108.47,110589,109.67,110.68,107.83
7/31/2015,109.69,129425,108.19,110.055,108
7/30/2015,107.92,174830,107.17,108.22,106.29
7/29/2015,107.19,147191,107.44,108.08,106.8
7/28/2015,107.42,225941,108.09,108.13,106.49
7/27/2015,107.32,158425,108.23,108.8217,106.98
7/24/2015,108.34,149816,109.53,109.95,108.26
7/23/2015,109.92,159917,110.59,111.83,109.43
7/22/2015,110.06,130177,109.02,110.08,108.88
7/21/2015,109.07,121288,109.99,110.455,109.03
7/20/2015,109.95,98237,109.97,110.76,109.49
7/17/2015,109.72,125029,111.7,112.3399,109.56
7/16/2015,111.48,183605,111.04,112.13,110.43
7/15/2015,110.48,164881,111.38,112.1,110.44
7/14/2015,111.3,145608,111.08,111.8,110.36
7/13/2015,110.9,162446,110.74,111.52,109.78
7/10/2015,109.78,224619,109.62,110.27,108.13
7/9/2015,108.72,215613,110.18,110.7,108.7
7/8/2015,109.23,159383,108.86,110.2,108.1775
7/7/2015,109.88,195281,110.43,110.43,108.69
7/6/2015,110.11,215568,108.49,110.26,107.54
7/2/2015,109.23,140289,111,111,109
7/1/2015,110.78,284762,109.99,111.27,109.62
6/30/2015,109.2,272238,108.34,109.57,107.78
6/29/2015,107.73,328428,108.5,109.6,107.12
6/26/2015,109.3,369714,109.22,110.43,108.715
6/25/2015,109.03,165011,108.81,109.35,108.365
6/24/2015,108.58,255062,109.2,109.3,108.11
6/23/2015,109.29,241288,109.43,109.87,108.05
6/22/2015,109.61,256375,108.99,110.24,108.19
6/19/2015,108.34,367062,108,109,107.09
6/18/2015,107.59,212130,105.93,107.86,105.93
6/17/2015,105.59,158888,105.62,106,104.38
6/16/2015,105.35,116412,105.43,106.37,105.09
6/15/2015,105.79,217887,105.49,106.16,105.02
6/12/2015,105.89,150752,105.62,106.83,105.4
6/11/2015,105.87,151056,105.05,106.16,104.95
6/10/2015,105.01,165125,103.79,105.26,103.148
6/9/2015,103.23,354825,106.24,106.24,102.54
6/8/2015,106.31,399460,103.11,106.9,102.6145
6/5/2015,106.31,197629,105.42,106.34,104.39
6/4/2015,104.99,100355,105.07,106.09,104.535
6/3/2015,105.52,155763,105.64,106.06,105.2
6/2/2015,105.42,371564,104.62,105.82,103.55
6/1/2015,104.57,128731,104.59,104.8,103.06
5/29/2015,103.74,156851,104.16,104.36,103.04
5/28/2015,104.61,182844,105,105.01,103.24
5/27/2015,105.5,101960,104,106.02,103.44
5/26/2015,104.01,149213,105.52,105.52,103.05
5/22/2015,105.56,177987,105.47,106.5,104.76
5/21/2015,105.51,179545,104.89,106.17,104.18
5/20/2015,104.69,142355,105,105.42,104.02
5/19/2015,105,199560,105.14,105.76,104.16
5/18/2015,105,396867,103.48,105.14,102.8
5/15/2015,103.31,447330,103.66,105.06,103.17
5/14/2015,103.37,320346,102.11,104.22,101.38
5/13/2015,101.55,182509,101.43,102.12,100.88
5/12/2015,101.27,103302,100.56,101.41,99.52
5/11/2015,101.2,108612,101.32,102.16,101.05
5/8/2015,101.31,266509,101.82,101.82,100.601
5/7/2015,100.89,108830,100.2,101.26,100.2
5/6/2015,100.09,284478,100.31,100.61,99.59
5/5/2015,100.21,280758,100.03,100.29,98.45
5/4/2015,99.01,160132,99.67,100.88,99
5/1/2015,99.83,151831,99.28,100.66,99.12
4/30/2015,99.21,386236,99.24,100.74,99.07
4/29/2015,99.25,239573,101.51,101.7,99.03
4/28/2015,101.74,247147,101.73,102.384,100.77
4/27/2015,101.84,205474,104.02,104.83,101.59
4/24/2015,104.05,218705,105.7,105.708,103.45
4/23/2015,105.33,157319,104.85,105.84,104.3433
4/22/2015,104.71,145654,105.1,105.36,104.032
4/21/2015,104.53,161864,104.49,105.04,103.97
4/20/2015,104.2,245524,103.46,104.425,103.01
4/17/2015,103.08,218475,103.67,104.25,102.72
4/16/2015,104.35,152360,104.83,105.185,103.89
4/15/2015,105.1,249166,105.1,105.67,103.88
4/14/2015,104.64,285968,104.81,105.48,103.75
4/13/2015,105.02,197378,106.4,106.4,105
4/10/2015,106.1,147741,107.27,107.27,105.8
4/9/2015,106.66,279078,107.68,108.29,105.31
4/8/2015,107.67,270655,105.88,107.7475,105.38
4/7/2015,105.66,237537,104.96,105.81,104.33
4/6/2015,104.54,199506,103.91,105.57,103.6756
4/2/2015,104.35,311860,103.08,104.61,102.57
4/1/2015,102.43,358506,103.62,103.9,101.63
3/31/2015,103.42,428088,100.51,104.11,100.19
3/30/2015,100.45,273516,100.17,100.94,99.53
3/27/2015,99.81,348002,98.67,101.53,98.67
3/26/2015,98.95,276773,99.6,99.6,97.99
3/25/2015,99.59,242835,100.3,101.05,99.14
3/24/2015,100.32,221719,99.37,101.17,99.26
3/23/2015,99.57,279906,98.78,100.26,98.12
3/20/2015,98.95,390277,99.63,100.51,98.52
3/19/2015,99,299901,99.79,100.454,98.6
3/18/2015,99.79,403793,100.2,100.6,98.46
3/17/2015,100.52,444713,100.44,101.5,99.57
3/16/2015,100.5,595176,97.43,100.68,97.4
3/13/2015,96.85,532623,93.87,96.94,93.75
3/12/2015,93.27,1017553,89.95,94.49,88.51
3/11/2015,85.01,285602,85.77,86.21,84.555
3/10/2015,85.81,130510,86.1,86.3,85.34
3/9/2015,86.79,98379,85.85,87.11,85.85
3/6/2015,85.94,120036,86.62,86.85,85.77
3/5/2015,87.26,101567,87.07,87.57,86.36
3/4/2015,87.03,91721,86.55,87.27,86.36
3/3/2015,86.97,193990,87.95,87.95,86.31
3/2/2015,88.31,143420,87.69,89.27,87.62
2/27/2015,87.81,194606,87.12,87.97,86.84
2/26/2015,87.25,242314,85.63,87.84,85.48
2/25/2015,85.87,96026,86.33,86.55,85.591
2/24/2015,86.31,113349,85.76,86.36,85.405
2/23/2015,85.7,99567,85.69,86.3,85.24
2/20/2015,85.9,231294,85.35,86.07,85.04
2/19/2015,85.72,209865,86.05,87.3,85.5
2/18/2015,86.26,199314,85.3,86.67,85.04
2/17/2015,85.41,190898,86,86.28,85.1615
2/13/2015,85.85,176419,86.59,87.33,85.79
2/12/2015,86.67,135158,86.73,87.12,86.25
2/11/2015,86.26,175880,85.85,86.95,85.59
2/10/2015,85.97,325322,85.18,86.41,84.77
2/9/2015,84.6,241972,86.72,87.1,84.55
2/6/2015,87.11,314460,86.77,88.16,86.37
2/5/2015,86.52,313152,87.97,88.31,85.53
2/4/2015,87.58,378436,87.48,88.7,87.03
2/3/2015,87.85,222544,88.23,88.23,87.59
2/2/2015,87.72,149070,87.68,88.7,86.16
1/30/2015,87.76,211116,89.23,89.65,87.5
1/29/2015,89.96,192224,90.02,90.09,89.01
1/28/2015,90.02,220571,91.22,91.23,89.5
1/27/2015,90.69,121383,89.59,91.3,89.545
1/26/2015,90.76,156770,90.35,91.24,90
1/23/2015,90.45,204364,90.26,90.905,89.64
1/22/2015,90.22,175656,89.16,90.66,88.42
1/21/2015,88.42,118913,88.65,89.67,88.1
1/20/2015,88.84,120040,89.86,89.94,88.03
1/16/2015,89.92,135529,88.36,90.03,87.82
1/15/2015,88.77,180904,90.92,91.58,88.73
1/14/2015,90.79,259446,91.25,92.3799,89.85
1/13/2015,91.97,593346,91.74,93.45,91.03
1/12/2015,90.5,406439,89.49,91.52,88.69
